title_year,aspect_ratio,duration.1,budget,imdb_score,cast_total_facebook_likes,worldwide_gross,production_budget
2014.0,1.85,130.0,170000000.0,7.6,14363.0,703545589.0,170000000.0
2015.0,5835869.416666667,109.0,5835869.416666667,4.5,1982.0,11106.0,35000000.0
2015.0,5835869.083333333,109.0,5835869.083333333,4.5,1980.0,11106.0,35000000.0
2013.0,2.35,128.0,175000000.0,6.3,20965.0,151659062.0,175000000.0
2014.0,2.35,136.0,170000000.0,7.8,36188.0,714401889.0,170000000.0
2010.0,2.35,93.0,165000000.0,6.4,4628.0,756244673.0,165000000.0
2014.0,2.39,102.0,165000000.0,7.9,2963.0,652127828.0,165000000.0
2012.0,2.35,101.0,165000000.0,7.8,4451.0,496511521.0,165000000.0
2004.0,2.35,100.0,165000000.0,6.6,16264.0,319090241.0,170000000.0
2016.0,2.35,120.0,165000000.0,5.5,3233.0,379262220.0,165000000.0
2010.0,2.35,98.0,165000000.0,8.2,20453.0,494870991.0,165000000.0
2003.0,2.35,109.0,200000000.0,6.4,1769.0,433058296.0,170000000.0
2014.0,2.35,121.0,170000000.0,8.1,32438.0,771172112.0,170000000.0
2014.0,2.35,169.0,165000000.0,8.6,31488.0,665417894.0,165000000.0
2012.0,2.35,182.0,180000000.0,7.9,9152.0,1017003568.0,250000000.0
2008.0,2.35,166.0,150000000.0,7.8,13333.0,329809326.0,160000000.0
2011.0,2.35,132.0,160000000.0,7.8,50983.0,355408305.0,160000000.0
2015.0,2.35,137.0,160000000.0,6.6,81385.0,650523427.0,160000000.0
2010.0,2.35,109.0,150000000.0,6.1,13388.0,217986320.0,160000000.0
2006.0,2.35,98.0,160000000.0,5.6,92456.0,181674817.0,160000000.0
2016.0,1.85,113.0,170000000.0,6.4,80806.0,277279693.0,170000000.0
2007.0,1.85,93.0,160000000.0,6.1,4705.0,807330936.0,160000000.0
2016.0,2.35,123.0,160000000.0,7.3,5505.0,433125655.0,160000000.0
2015.0,2.35,126.0,155000000.0,6.6,38873.0,440160956.0,155000000.0
2010.0,1.78,113.0,155000000.0,6.3,764.0,418186950.0,155000000.0
2001.0,2.35,184.0,140000000.0,6.1,5401.0,449239855.0,151500000.0
2004.0,2.35,206.0,155000000.0,5.5,24598.0,167297191.0,155000000.0
2007.0,2.35,138.0,150000000.0,7.5,33433.0,942943935.0,150000000.0
2005.0,2.35,157.0,150000000.0,7.6,53413.0,896911078.0,150000000.0
2008.0,2.35,102.0,150000000.0,6.4,21584.0,624234272.0,150000000.0
2007.0,2.35,104.0,150000000.0,7.2,13076.0,585532684.0,150000000.0
2005.0,1.85,115.0,150000000.0,6.7,57844.0,475825484.0,150000000.0
2007.0,2.35,111.0,150000000.0,8.0,4764.0,626549695.0,150000000.0
2005.0,2.35,128.0,150000000.0,8.3,59558.0,359142722.0,150000000.0
2008.0,1.85,89.0,150000000.0,6.7,3285.0,599516844.0,150000000.0
2009.0,2.35,105.0,150000000.0,5.9,54039.0,402231063.0,150000000.0
2009.0,2.35,119.0,150000000.0,6.7,40054.0,374825760.0,150000000.0
2003.0,2.35,129.0,150000000.0,6.7,1062.0,427289109.0,150000000.0
2013.0,2.24,102.0,150000000.0,7.6,2582.0,1274234980.0,150000000.0
2003.0,2.35,138.0,150000000.0,7.2,534.0,738576929.0,150000000.0
2013.0,2.35,112.0,170000000.0,7.1,59803.0,644600394.0,150000000.0
2015.0,2.35,120.0,150000000.0,8.1,40025.0,373136354.0,150000000.0
2009.0,2.35,146.0,150000000.0,6.7,16948.0,490875846.0,150000000.0
2011.0,2.35,115.0,150000000.0,7.0,60059.0,449326618.0,150000000.0
2009.0,2.35,88.0,150000000.0,5.1,2217.0,292817841.0,150000000.0
2012.0,1.85,99.0,150000000.0,5.8,16184.0,305270083.0,150000000.0
2012.0,1.85,113.0,100000000.0,6.2,80849.0,238202668.0,150000000.0
2015.0,2.35,131.0,150000000.0,7.4,21840.0,700868363.0,150000000.0
2010.0,1.85,119.0,150000000.0,5.8,13071.0,142634358.0,150000000.0
2007.0,1.85,91.0,150000000.0,6.2,6576.0,287594577.0,150000000.0
2011.0,2.35,90.0,150000000.0,7.3,21015.0,664837547.0,150000000.0
2010.0,2.35,103.0,150000000.0,4.2,2857.0,319713881.0,150000000.0
2006.0,2.35,124.0,150000000.0,6.9,34817.0,397501348.0,150000000.0
2013.0,2.35,131.0,150000000.0,6.4,18204.0,205440387.0,150000000.0
2011.0,2.35,88.0,150000000.0,5.4,2652.0,39549758.0,150000000.0
2006.0,1.85,85.0,149000000.0,6.7,35161.0,179357126.0,149000000.0
2014.0,1.85,92.0,145000000.0,6.9,5810.0,269806430.0,145000000.0
2012.0,1.85,93.0,145000000.0,6.9,2444.0,746921271.0,145000000.0
2002.0,2.35,133.0,142000000.0,6.1,2538.0,431942139.0,142000000.0
1998.0,2.35,153.0,140000000.0,6.6,26029.0,554600000.0,140000000.0
2007.0,2.35,115.0,150000000.0,6.3,31523.0,194995215.0,150000000.0
2016.0,2.35,95.0,145000000.0,7.2,36095.0,518628619.0,140000000.0
2011.0,2.35,133.0,145000000.0,7.4,21768.0,694713230.0,145000000.0
2012.0,1.85,97.0,145000000.0,7.3,20645.0,306900902.0,145000000.0
2005.0,2.35,90.0,100000000.0,6.1,1997.0,203018919.0,140000000.0
2003.0,2.35,154.0,140000000.0,7.7,11945.0,456810575.0,140000000.0
2014.0,2.35,150.0,140000000.0,6.1,26490.0,268314513.0,140000000.0
2014.0,2.35,150.0,140000000.0,6.1,26489.0,268314513.0,140000000.0
2009.0,2.35,127.0,150000000.0,8.0,39284.0,385680446.0,140000000.0
2002.0,1.85,121.0,139000000.0,7.3,40484.0,821706375.0,139000000.0
2014.0,2.35,102.0,145000000.0,7.9,23378.0,616102924.0,145000000.0
2016.0,2.35,126.0,140000000.0,5.5,19769.0,133553464.0,140000000.0
2005.0,2.35,121.0,135000000.0,5.0,2705.0,76416746.0,138000000.0
2009.0,2.35,215.0,130000000.0,7.7,2530.0,184068357.0,138000000.0
2003.0,1.85,138.0,137000000.0,5.7,1814.0,245229234.0,137000000.0
2013.0,2.35,122.0,130000000.0,5.8,31958.0,375740705.0,140000000.0
2005.0,2.35,124.0,130000000.0,6.0,13073.0,121671925.0,145000000.0
2001.0,1.85,106.0,137000000.0,6.4,15015.0,85131830.0,137000000.0
2011.0,2.35,124.0,140000000.0,6.9,19761.0,370569776.0,140000000.0
1999.0,2.35,128.0,135000000.0,6.4,2037.0,361730660.0,135000000.0
2003.0,2.35,138.0,150000000.0,7.4,1205.0,212912137.0,135000000.0
2011.0,2.35,100.0,135000000.0,5.9,62644.0,157956466.0,135000000.0
2008.0,2.35,135.0,150000000.0,6.8,5811.0,263417913.0,137500000.0
42902901.690000005,1.33,60.0,1500000.0,7.5,1687.0,163818556.0,135000000.0
2016.0,2.35,117.0,140000000.0,6.8,1950.0,118515678.0,140000000.0
2015.0,2.35,156.0,135000000.0,8.1,57108.0,532037894.0,135000000.0
2013.0,2.35,96.0,135000000.0,6.5,17416.0,286896578.0,135000000.0
2011.0,2.35,107.0,135000000.0,7.2,43291.0,245504574.0,135000000.0
2014.0,1.85,92.0,132000000.0,6.7,19963.0,367650911.0,132000000.0
2007.0,2.35,115.0,110000000.0,8.1,17369.0,442161562.0,130000000.0
2008.0,2.35,92.0,130000000.0,7.6,12754.0,631910531.0,130000000.0
